Feature_ID,ENumLab,Feature,Value,Source,Comment
GB020,1,Are there definite or specific articles?,1,Holton et al. 2012: 52-53,
GB021,1,Do indefinite nominals commonly have indefinite articles?,1,Holton et al. 2012: 53,
GB022,1,Are there prenominal articles?,1,Holton et al. 2012: 52-53,
GB023,1,Are there postnominal articles?,0,Holton et al. 2012: 52-53,
GB024,12,What is the order of numeral and noun in the NP?,1,Holton et al. 2012: 125-127,
GB025,2,What is the order of adnominal demonstrative and noun?,3,Holton et al. 2012: 318-319,
GB026,3,Can adnominal property words occur discontinuously?,0,Holton et al. 2012: 86,
GB028,11,Is there a distinction between inclusive and exclusive?,0,Holton et al. 2012: 113-114,
GB030,6,Is there a gender distinction in independent 3rd person pronouns?,1,Holton et al. 2012: 112-121,
GB031,6,Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?,0,Holton et al. 2012: 113-114,
GB035,6,Are there three or more distance contrasts in demonstratives?,0,Holton et al. 2012: 400-403,aytos = near ekeinos = far
GB036,2,Do demonstratives show an elevation distinction?,0,Holton et al. 2012: 400-403,
GB037,2,Do demonstratives show a visible-nonvisible distinction?,0,Holton et al. 2012: 400-403,
GB038,2,Are there demonstrative classifiers?,0,Holton et al. 2012: 400-403,
GB039,2,Is there nonphonological allomorphy of noun number markers?,1,Holton et al. 2012: 54-85,
GB041,9,Are there several nouns (more than three) which are suppletive for number?,0,Holton et al. 2012: 54-85,
GB042,9,Is there productive overt morphological singular marking on nouns?,1,Holton et al. 2012: 54-85,
GB043,9,Is there productive morphological dual marking on nouns?,0,Holton et al. 2012: 54-85,
GB044,9,Is there productive morphological plural marking on nouns?,1,Holton et al. 2012: 54-85,
GB046,9,Is there an associative plural marker for nouns?,1,Holton et al. 2012: 54-85,
GB047,9,Is there a productive morphological pattern for deriving an action/state noun from a verb?,1,Holton et al. 2012: 207-214,
GB048,23,Is there a productive morphological pattern for deriving an agent noun from a verb?,1,Holton et al. 2012: 207-214,
GB049,23,Is there a productive morphological pattern for deriving an object noun from a verb?,1,Holton et al. 2012: 207,
GB051,23,Is there a gender/noun class system where sex is a factor in class assignment?,1,Holton et al. 2012: 317-325,
GB052,4,Is there a gender/noun class system where shape is a factor in class assignment?,0,Holton et al. 2012: 317-325,
GB053,4,Is there a gender/noun class system where animacy is a factor in class assignment?,0,Holton et al. 2012: 317-325,
GB054,4,Is there a gender/noun class system where plant status is a factor in class assignment?,0,Holton et al. 2012: 317-325,
GB057,4,Are there numeral classifiers?,0,Holton et al. 2012: 317-325,The possessive construction has agreement though
GB058,5,Are there possessive classifiers?,0,Holton et al. 2012: 339-340,
GB059,7,Is the adnominal possessive construction different for alienable and inalienable nouns?,0,Holton et al. 2012: 387-389,
GB065,7,What is the pragmatically unmarked order of adnominal possessor noun and possessed noun?,2,Holton et al. 2012: 387-389,
GB070,12,Are there morphological cases for non-pronominal core arguments (i.e. S/A/P)?,1,Holton et al. 2012: 328 -365,
GB071,3,Are there morphological cases for pronominal core arguments (i.e. S/A/P)?,1,Holton et al. 2012: 328 -365,
GB072,3,Are there morphological cases for oblique non-pronominal NPs (i.e. not S/A/P)?,0,Holton et al. 2012: 328 -365,
GB073,10,Are there morphological cases for independent oblique personal pronominal arguments (i.e. not S/A/P)?,0,Holton et al. 2012: 328 -365,
GB074,6,Are there prepositions?,1,Holton et al. 2012: 459-499,
GB075,10,Are there postpositions?,0,Holton et al. 2012: 498,Just two examples that are used until today from ancient greek
GB081,6,Is there productive infixation in verbs?,1,Holton et al. 2012: 130-137,
GB082,12,Is there overt morphological marking of present tense on verbs?,1,Holton et al. 2012: 136-137,
GB083,12,Is there overt morphological marking on the verb dedicated to past tense?,1,Holton et al. 2012: 136-137,
GB084,14,Is there overt morphological marking on the verb dedicated to future tense?,0,Holton et al. 2012: 136-137,
GB086,14,Is a morphological distinction between perfective and imperfective aspect available on verbs?,1,Holton et al. 2012: 140-144,
GB089,13,Can the S argument be indexed by a suffix/enclitic on the verb in the simple main clause?,1,Holton et al. 2012: 136-137,
GB090,17,Can the S argument be indexed by a prefix/proclitic on the verb in the simple main clause?,0,Holton et al. 2012: 142-143,
