Feature id;ENumLab;Feature;Value;Source;Comment
;;;;;
GB020;1;Are there definite or specific articles?;1;Holton et al. 2012: 52-53;
GB021;1;Do indefinite nominals commonly have indefinite articles?;1;Holton et al. 2012: 53;
GB022;1;Are there prenominal articles?;1;Holton et al. 2012: 52-53;
GB023;1;Are there postnominal articles?;0;Holton et al. 2012: 52-53;
GB024;12;What is the order of numeral and noun in the NP?;1;Holton et al. 2012: 125-127;
GB025;2;What is the order of adnominal demonstrative and noun?;3;Holton et al. 2012: 318-319;
GB026;3;Can adnominal property words occur discontinuously?;0;Holton et al. 2012: 86;
GB027;11;Are nominal conjunction and comitative expressed by different elements?;1;Holton et al. 2012: 480-481, 566-567;
GB028;6;Is there a distinction between inclusive and exclusive?;0;Holton et al. 2012: 113-114;
GB030;6;Is there a gender distinction in independent 3rd person pronouns?;1;Holton et al. 2012: 112-121;
GB031;6;Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?;0;Holton et al. 2012: 113-114;
GB035;2;Are there three or more distance contrasts in demonstratives?;0;Holton et al. 2012: 400-403;aytos = near ekeinos = far
GB036;2;Do demonstratives show an elevation distinction?;0;Holton et al. 2012: 400-403;
GB037;2;Do demonstratives show a visible-nonvisible distinction?;0;Holton et al. 2012: 400-403;
GB038;2;Are there demonstrative classifiers?;0;Holton et al. 2012: 400-403;
GB039;9;Is there nonphonological allomorphy of noun number markers?;1;Holton et al. 2012: 54-85;
GB041;9;Are there several nouns (more than three) which are suppletive for number?;0;Holton et al. 2012: 54-85;
GB042;9;Is there productive overt morphological singular marking on nouns?;1;Holton et al. 2012: 54-85;
GB043;9;Is there productive morphological dual marking on nouns?;0;Holton et al. 2012: 54-85;
GB044;9;Is there productive morphological plural marking on nouns?;1;Holton et al. 2012: 54-85;
GB046;9;Is there an associative plural marker for nouns?;1;Holton et al. 2012: 54-85;
GB047;23;Is there a productive morphological pattern for deriving an action/state noun from a verb?;1;Holton et al. 2012: 207-214;
GB048;23;Is there a productive morphological pattern for deriving an agent noun from a verb?;1;Holton et al. 2012: 207-214;
GB049;23;Is there a productive morphological pattern for deriving an object noun from a verb?;1;Holton et al. 2012: 207;
GB051;4;Is there a gender/noun class system where sex is a factor in class assignment?;1;Holton et al. 2012: 317-325;
